0.55,0.58571,0.6772,0.75065,0.94107,2.0096,2.6191,0.36284,1.1588,0.58182,0.48448,0.9195,0.44927,1.2028,3.0649,6.1761,1.2997,0.65438,1.4691,0.46376,3.6827,0.52514,0.55685,0.47818,0.40511,0.34551,0.90233,0.52395,3.3988,1.4192,0.48257,0.87129,1.2527,4.4356,0.77665,0.80314,0.74381,0.96632,1.007,0.42002,0.65013,0.63781
0.6,0.58305,0.66915,0.72839,0.95764,2.1329,2.596,0.34883,1.1235,0.74196,0.49395,0.89485,0.44172,1.2658,3.399,5.6396,1.2089,0.6509,1.5156,0.446,3.6178,0.48121,0.49531,0.47593,0.40546,0.44465,0.91686,0.52676,4.1399,1.3775,0.48538,1.0899,1.2363,4.5031,0.73649,0.77386,0.7101,1.0381,0.99536,0.40936,0.72829,0.61451
0.65,0.56067,0.67673,0.70628,0.9215,2.1196,2.5522,0.33396,1.0822,0.80623,0.4955,0.86881,0.43394,1.397,3.5406,5.0165,1.1064,0.64749,1.4038,0.46903,3.5346,0.43733,0.4352,0.46916,0.40533,0.47396,0.91498,1.0172,5.279,1.5775,0.48678,1.5613,1.2177,4.4974,0.74585,0.71853,0.72242,1.0503,0.97863,0.39862,0.77304,0.61358
0.7,0.52801,0.72064,0.68472,0.85704,2.0337,2.4924,0.33835,1.0381,0.81075,0.49116,0.89445,0.42611,1.3691,3.561,4.5478,1.0013,0.64418,1.2327,0.47434,3.4382,0.3947,0.37859,0.45962,0.40503,0.52375,0.90404,1.2697,6.7576,1.8183,0.48695,1.7563,1.2231,4.4381,0.71777,0.65049,0.84595,1.0243,0.95791,0.40519,0.85804,0.64576
0.75,0.49114,0.74847,0.66393,0.8397,1.9127,2.4207,0.36197,1.0113,0.77998,0.48255,0.90188,0.41837,1.2762,3.5064,4.1314,0.8991,0.64286,1.2495,0.46734,3.3329,0.35756,0.32665,0.44851,0.40471,0.53345,0.88835,1.3531,7.881,2.1004,0.48605,1.7417,1.2184,4.3402,0.67165,0.57835,0.95728,0.97509,0.93415,0.40572,0.90463,0.64936
0.8,0.45388,0.76356,0.64405,0.98919,1.778,2.3405,0.37391,0.99402,0.7302,0.47098,0.89665,0.41079,1.2571,3.4068,3.6431,0.94479,0.64066,1.1663,0.45207,3.2217,0.35301,0.45267,0.43665,0.40437,0.61201,0.87042,1.3415,8.7063,2.1892,0.48423,1.616,1.2064,4.2151,0.61917,0.50749,1.0931,1.0899,0.90816,0.40149,0.92458,0.63674
0.85,0.41844,0.76866,0.62511,1.0323,1.6418,2.2545,0.3772,0.96796,0.67201,0.45743,0.88279,0.40343,1.1924,3.2815,3.1477,0.98162,0.63807,1.0309,0.43155,3.1072,0.34004,0.58065,0.42883,0.40404,0.66055,0.85169,1.2791,9.2827,2.1687,0.48161,1.4395,1.189,4.0717,0.56707,0.44104,1.4189,1.1881,0.88062,0.39356,0.92631,0.62806
0.9,0.62796,0.766,0.60714,1.0808,1.5107,2.1649,0.37422,0.93683,0.65237,0.47653,0.86323,0.39633,1.0976,3.1429,2.7177,0.97536,0.63533,0.88548,0.40799,2.9913,0.32157,0.63544,0.41961,0.4037,0.65342,0.833,1.1918,9.6522,2.0889,0.47831,1.2477,1.1678,3.9167,0.63921,0.38651,1.6349,1.211,0.85209,0.38822,0.91582,0.60771
0.95,0.72706,0.78605,0.5901,1.0574,1.3879,2.0733,0.36678,0.90321,0.61612,0.51503,0.84008,0.3895,0.99738,2.999,2.3653,0.93604,0.63256,0.74971,0.4567,2.8757,0.2998,0.64203,0.40971,0.40337,0.61806,0.8148,1.1599,9.8511,1.9794,0.47445,1.0608,1.1441,3.7552,0.65441,0.33606,1.7033,1.1852,0.82303,0.37958,0.89739,0.58102
1,0.75615,0.827,0.57399,0.99731,1.2748,1.9813,0.35628,0.86884,0.57211,0.53759,0.81487,0.38296,0.9026,2.8547,2.1328,0.87781,0.62983,0.63139,0.47999,2.7613,0.2967,0.61816,0.39961,0.40304,0.56993,0.79732,1.094,10.193,1.8576,0.4701,0.88905,1.1187,3.5909,0.63602,0.29064,1.6928,1.1294,0.83661,0.37208,0.87404,0.55138
