max_depth,min_samples_split,min_samples_leaf,class_weight_factor,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,n_leaves_mean,n_leaves_std
3,100,60,1.0,0.8956957856445561,0.026102356076663426,0.950972753403879,0.02183503409737794,0.9220466400871311,0.007835553428738195,7.8,0.44721359549995787
3,100,70,0.6,0.9080407731687201,0.016713371472311646,0.9241834578946705,0.0259090264336177,0.9157337238254801,0.011125273710003086,8.0,0.0
3,100,70,0.7,0.9065558666784023,0.017636242225618864,0.9282809644938486,0.023573196370511383,0.9169903069803172,0.009438985599817854,8.0,0.0
3,100,70,0.8,0.9078691319319182,0.0167832947247608,0.9272363402096016,0.022353635235419226,0.9171883122970138,0.00951562294068487,8.0,0.0
3,100,70,0.9,0.9065262135498477,0.01590309999837462,0.9310302942074988,0.023583639179500883,0.9183582045392011,0.010508865817540144,8.0,0.0
3,100,70,1.0,0.8957911172369004,0.026219123259595453,0.9507500443437236,0.02193369387377197,0.9219863128704873,0.0077124362803440245,7.8,0.44721359549995787
4,60,40,0.6,0.9108682990775693,0.015793266735648084,0.917027894906466,0.01969914009814264,0.9137578469832339,0.010589339518047408,15.6,0.5477225575051662
4,60,40,0.7,0.90789281396859,0.014138527634738676,0.9250793398145227,0.020293079999849094,0.9162206784830378,0.009620882533323615,15.6,0.5477225575051662
4,60,40,0.8,0.9010881412712035,0.017287436077413232,0.9397613040654731,0.02550698573873193,0.9197055934504039,0.01042725679804099,15.4,0.5477225575051662
4,60,40,0.9,0.8925899851019278,0.015416154605961886,0.9590533369168902,0.010306833194289168,0.9245271217367634,0.007936961961280917,15.2,0.44721359549995787
4,60,40,1.0,0.8905924288848304,0.02275499841722885,0.9603590445941232,0.01874382469948341,0.9238440255264155,0.009158484264017675,14.6,1.6733200530681511
4,60,50,0.6,0.9108661483340244,0.015796791911710274,0.9170071437132723,0.019664368603881252,0.9137469265000725,0.010586434603686091,15.6,0.5477225575051662
4,60,50,0.7,0.9079636272943234,0.01431003155272347,0.925008656062707,0.02047459256049611,0.9162167501367723,0.009620872942604854,15.0,0.7071067811865476
4,60,50,0.8,0.9010406681064491,0.01744754807330907,0.9398145070203366,0.02567971689140371,0.9197001984465759,0.010432967747189948,15.0,0.0
4,60,50,0.9,0.8927042025538908,0.015253400446593984,0.9588367743602368,0.010129083096712298,0.9244921159544944,0.007974851677521943,15.0,0.0
4,60,50,1.0,0.8905898265888684,0.022760002905211057,0.9603382934009297,0.018709237779729493,0.923833569849827,0.009169839043672834,14.6,1.6733200530681511
4,60,60,0.6,0.9108641724796497,0.015775597965515597,0.9167928673223423,0.019545934754636528,0.9136411964524115,0.010554636618114326,15.6,0.5477225575051662
4,60,60,0.7,0.9074574628011296,0.014391888181765074,0.9257778396628364,0.018790412631462895,0.9163561948355046,0.009154721463783965,15.0,0.7071067811865476
4,60,60,0.8,0.901070568962416,0.017420221744854105,0.9390902054319156,0.02675038263016333,0.9193565073032689,0.011046073717543198,15.0,0.0
4,60,60,0.9,0.8927232986282652,0.0152286077433503,0.9581124727718159,0.01139937862276391,0.9241617948108605,0.008450024677832561,15.0,0.0
4,60,60,1.0,0.8905683942860694,0.02283815377101172,0.9603461196246501,0.018863078553776495,0.9238211193207568,0.009133635256025556,14.6,1.6733200530681511
4,60,70,0.6,0.9108848865707083,0.015760174929428727,0.9165872075777279,0.019355383113883254,0.913552393118285,0.01053311964116976,15.2,0.44721359549995815
4,60,70,0.7,0.9074604698943647,0.014414942402164614,0.925572179918222,0.018654321575111325,0.9162586747429243,0.00915332236588409,14.6,0.8944271909999161
4,60,70,0.8,0.9010764301169474,0.017453099380258637,0.9389352199577508,0.026617698377266543,0.9192876779471174,0.011057114035273357,14.6,0.5477225575051662
4,60,70,0.9,0.8927268661812805,0.015241955302914155,0.957957487297651,0.011245066057990093,0.924093519021987,0.00850291238262346,14.6,0.5477225575051662
4,60,70,1.0,0.8906341283888176,0.022948648904813167,0.960298827178954,0.01894331262799427,0.9238301504275409,0.009072237637161985,14.2,1.3038404810405297
4,80,40,0.6,0.9108682990775693,0.015793266735648084,0.917027894906466,0.01969914009814264,0.9137578469832339,0.010589339518047408,15.6,0.5477225575051662
4,80,40,0.7,0.90789281396859,0.014138527634738676,0.9250793398145227,0.020293079999849094,0.9162206784830378,0.009620882533323615,15.6,0.5477225575051662
4,80,40,0.8,0.9010881412712035,0.017287436077413232,0.9397613040654731,0.02550698573873193,0.9197055934504039,0.01042725679804099,15.4,0.5477225575051662
4,80,40,0.9,0.8925899851019278,0.015416154605961886,0.9590533369168902,0.010306833194289168,0.9245271217367634,0.007936961961280917,15.2,0.44721359549995787
4,80,40,1.0,0.8905924288848304,0.02275499841722885,0.9603590445941232,0.01874382469948341,0.9238440255264155,0.009158484264017675,14.6,1.6733200530681511
4,80,50,0.6,0.9108661483340244,0.015796791911710274,0.9170071437132723,0.019664368603881252,0.9137469265000725,0.010586434603686091,15.6,0.5477225575051662
4,80,50,0.7,0.9079636272943234,0.01431003155272347,0.925008656062707,0.02047459256049611,0.9162167501367723,0.009620872942604854,15.0,0.7071067811865476
4,80,50,0.8,0.9010406681064491,0.01744754807330907,0.9398145070203366,0.02567971689140371,0.9197001984465759,0.010432967747189948,15.0,0.0
4,80,50,0.9,0.8927042025538908,0.015253400446593984,0.9588367743602368,0.010129083096712298,0.9244921159544944,0.007974851677521943,15.0,0.0
4,80,50,1.0,0.8905898265888684,0.022760002905211057,0.9603382934009297,0.018709237779729493,0.923833569849827,0.009169839043672834,14.6,1.6733200530681511
4,80,60,0.6,0.9108641724796497,0.015775597965515597,0.9167928673223423,0.019545934754636528,0.9136411964524115,0.010554636618114326,15.6,0.5477225575051662
4,80,60,0.7,0.9074574628011296,0.014391888181765074,0.9257778396628364,0.018790412631462895,0.9163561948355046,0.009154721463783965,15.0,0.7071067811865476
4,80,60,0.8,0.901070568962416,0.017420221744854105,0.9390902054319156,0.02675038263016333,0.9193565073032689,0.011046073717543198,15.0,0.0
4,80,60,0.9,0.8927232986282652,0.0152286077433503,0.9581124727718159,0.01139937862276391,0.9241617948108605,0.008450024677832561,15.0,0.0
