model_id,model_file,max_depth,min_samples_split,min_samples_leaf,class_weight_factor,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1
345,dt_d5_s80_l50_w0.5.pkl,5,80,50,0.5,0.8499195518741434,0.8545536249251049,0.8522302889068148,0.7993512861129969,0.8606351011126452,0.8288619475948377
346,dt_d5_s80_l50_w0.6.pkl,5,80,50,0.6,0.8451209120559457,0.8616536848412223,0.8533072256093038,0.7948756144793684,0.8667262243157638,0.8292474455107036
347,dt_d5_s80_l50_w0.7.pkl,5,80,50,0.7,0.8224338963152699,0.9234272019173158,0.8700094553973384,0.7678451404758704,0.9277998862990335,0.840278033172741
348,dt_d5_s80_l50_w0.8.pkl,5,80,50,0.8,0.8171851696800021,0.9356500898741762,0.8724144191957989,0.7608396195473925,0.9420125071063103,0.841788228463604
349,dt_d5_s80_l50_w0.9.pkl,5,80,50,0.9,0.8174468196446794,0.9359496704613541,0.8726937527060434,0.761310657298575,0.9416064322261025,0.841914167453344
350,dt_d5_s80_l50_w1.0.pkl,5,80,50,1.0,0.8193320235756385,0.9370281605751948,0.8742366012158479,0.7640886894549294,0.9403882075854788,0.8431208359121856
351,dt_d5_s80_l60_w0.2.pkl,5,80,60,0.2,0.9231031349386642,0.48693828639904135,0.6375617792421746,0.8938490620910281,0.499228457727605,0.6406461698801459
352,dt_d5_s80_l60_w0.3.pkl,5,80,60,0.3,0.8772298741807731,0.749850209706411,0.808553938591249,0.826869322152341,0.7687809632096159,0.7967678128024914
353,dt_d5_s80_l60_w0.4.pkl,5,80,60,0.4,0.870530536501309,0.7869982025164769,0.8266595339616407,0.8190854870775348,0.8030536830991635,0.8109903629280295
354,dt_d5_s80_l60_w0.5.pkl,5,80,60,0.5,0.8499195518741434,0.8545536249251049,0.8522302889068148,0.7993512861129969,0.8606351011126452,0.8288619475948377
355,dt_d5_s80_l60_w0.6.pkl,5,80,60,0.6,0.8451209120559457,0.8616536848412223,0.8533072256093038,0.7948756144793684,0.8667262243157638,0.8292474455107036
356,dt_d5_s80_l60_w0.7.pkl,5,80,60,0.7,0.8224338963152699,0.9234272019173158,0.8700094553973384,0.7678451404758704,0.9277998862990335,0.840278033172741
357,dt_d5_s80_l60_w0.8.pkl,5,80,60,0.8,0.8175553517620857,0.9347513481126423,0.8722342581592005,0.7612283816663379,0.940144562657354,0.8412790697674418
358,dt_d5_s80_l60_w0.9.pkl,5,80,60,0.9,0.8187963596191278,0.9325644098262432,0.8719852096697387,0.7624710934919062,0.937220823519857,0.8408627222384144
359,dt_d5_s80_l60_w1.0.pkl,5,80,60,1.0,0.819048616932104,0.9367285799880167,0.8739448823299234,0.7636687797147385,0.9392511979208966,0.842408129074553
360,dt_d5_s100_l20_w0.2.pkl,5,100,20,0.2,0.9227175503771249,0.49110245656081486,0.6410276463457553,0.8930890203433848,0.502720701697393,0.6433173976304303
361,dt_d5_s100_l20_w0.3.pkl,5,100,20,0.3,0.8771445543170621,0.7520371479928101,0.8097872546331393,0.8263786044080494,0.7704052627304475,0.7974108944182918
362,dt_d5_s100_l20_w0.4.pkl,5,100,20,0.4,0.8704610093260137,0.7885260635110845,0.827470212832846,0.8189184719695717,0.8043531227158288,0.8115704511000942
363,dt_d5_s100_l20_w0.5.pkl,5,100,20,0.5,0.8502432763201099,0.8533253445176753,0.8517815224054665,0.7980674869781837,0.8586047267116056,0.8272300469483568
