max_depth,min_samples_split,min_samples_leaf,class_weight_factor,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,n_leaves_mean,n_leaves_std
3,100,60,0.8,0.8719237566246502,0.033832801519654274,0.9313371787498769,0.027004027817095783,0.8999182404249071,0.011879404070775023,8.0,0.0
3,100,60,0.9,0.8630805340260451,0.02552464680959344,0.950616578040257,0.005811181721177034,0.90456310921351,0.013804104939063255,8.0,0.0
3,100,60,1.0,0.8640073895260476,0.02886575691108592,0.9482310909078502,0.011637319279334795,0.9038454911600697,0.01305071766556268,8.0,0.0
3,100,70,0.6,0.8817701255735487,0.02400768149931088,0.9112462776571677,0.030721280285820423,0.8958474526214426,0.016808270052987385,8.0,0.0
3,100,70,0.7,0.8809673026276424,0.025160381626915935,0.912797239610889,0.032795970465657326,0.8960965912098396,0.01667708527882547,8.0,0.0
3,100,70,0.8,0.8719237566246502,0.033832801519654274,0.9313371787498769,0.027004027817095783,0.8999182404249071,0.011879404070775023,8.0,0.0
3,100,70,0.9,0.8630833850483223,0.02552320446493996,0.950638120478861,0.005802628334290119,0.9045743442519649,0.013797632111712175,8.0,0.0
3,100,70,1.0,0.8640102405483248,0.028864367085393555,0.9482526333464542,0.011638571030146627,0.9038567261985246,0.013044643593206225,8.0,0.0
4,60,40,0.6,0.8942496917694054,0.027459634442253876,0.8724610221745104,0.03409877077237787,0.882421337710295,0.009546028808113557,16.0,0.0
4,60,40,0.7,0.8769050541871091,0.023693826375472748,0.9272077206199942,0.008517526106724016,0.9012031767329505,0.01275383974059138,15.8,0.44721359549995776
4,60,40,0.8,0.8726122565372144,0.025955333777645372,0.9396293214260437,0.006066858252769616,0.9046886231055009,0.013065578915349568,15.6,0.5477225575051662
4,60,40,0.9,0.8671185406606161,0.0240821188547641,0.9472333658918188,0.006120163190379933,0.905266738545208,0.013553235710371344,15.6,0.5477225575051662
4,60,40,1.0,0.8626127755814531,0.028151775668089574,0.9538097491407742,0.0039198597296346525,0.9056975982077884,0.01440396371952339,15.4,0.5477225575051662
4,60,50,0.6,0.8945610220896004,0.02711002854596872,0.8717458480451572,0.03405745271106789,0.8822216425213252,0.009817803801814063,15.6,0.5477225575051662
4,60,50,0.7,0.8771251039574587,0.0233876212473573,0.9264925464906411,0.0094753743238094,0.900990389280917,0.013130659348737242,15.6,0.5477225575051662
4,60,50,0.8,0.872858591498342,0.02559669680451239,0.9390385254061432,0.006331629690746252,0.904560307242211,0.013275247610148574,15.6,0.5477225575051662
4,60,50,0.9,0.8675682286192498,0.023412617343047216,0.9466425698719183,0.006662763708245219,0.9052562182465019,0.013570303095739533,15.6,0.5477225575051662
4,60,50,1.0,0.8623672644608333,0.028535032499459677,0.9538097491407742,0.0039198597296346525,0.9055568569559878,0.014646356971941799,15.4,0.5477225575051662
4,60,60,0.6,0.8945610220896004,0.02711002854596872,0.8717458480451572,0.03405745271106789,0.8822216425213252,0.009817803801814063,15.6,0.5477225575051662
4,60,60,0.7,0.8771251039574587,0.0233876212473573,0.9264925464906411,0.0094753743238094,0.900990389280917,0.013130659348737242,15.6,0.5477225575051662
4,60,60,0.8,0.872858591498342,0.02559669680451239,0.9390385254061432,0.006331629690746252,0.904560307242211,0.013275247610148574,15.6,0.5477225575051662
4,60,60,0.9,0.8675682286192498,0.023412617343047216,0.9466425698719183,0.006662763708245219,0.9052562182465019,0.013570303095739533,15.6,0.5477225575051662
4,60,60,1.0,0.8628515126647012,0.027784426400546396,0.9531567640661474,0.004329200491961939,0.9055511670019198,0.0146562143712854,15.4,0.5477225575051662
4,60,70,0.6,0.8945610220896004,0.02711002854596872,0.8717458480451572,0.03405745271106789,0.8822216425213252,0.009817803801814063,15.6,0.5477225575051662
4,60,70,0.7,0.8772586151167273,0.023452628013406418,0.9263362441572704,0.009337148964962277,0.9009864338089768,0.013127608006344767,15.6,0.5477225575051662
4,60,70,0.8,0.872810142266155,0.025565860674296222,0.9392841433585826,0.006079936416363964,0.904651170277617,0.013315588065482964,15.6,0.5477225575051662
4,60,70,0.9,0.8675294430790172,0.023407218899213433,0.9469097302629619,0.006961093196734042,0.905356497030569,0.013599158766190559,15.6,0.5477225575051662
4,60,70,1.0,0.862854394355689,0.02778267046090184,0.9531783065047513,0.004351448712398783,0.9055623121417975,0.014650774938897285,15.2,0.8366600265340758
4,80,40,0.6,0.8942496917694054,0.027459634442253876,0.8724610221745104,0.03409877077237787,0.882421337710295,0.009546028808113557,16.0,0.0
4,80,40,0.7,0.8769050541871091,0.023693826375472748,0.9272077206199942,0.008517526106724016,0.9012031767329505,0.01275383974059138,15.8,0.44721359549995776
4,80,40,0.8,0.8726122565372144,0.025955333777645372,0.9396293214260437,0.006066858252769616,0.9046886231055009,0.013065578915349568,15.6,0.5477225575051662
4,80,40,0.9,0.8671185406606161,0.0240821188547641,0.9472333658918188,0.006120163190379933,0.905266738545208,0.013553235710371344,15.6,0.5477225575051662
4,80,40,1.0,0.8626127755814531,0.028151775668089574,0.9538097491407742,0.0039198597296346525,0.9056975982077884,0.01440396371952339,15.4,0.5477225575051662
4,80,50,0.6,0.8945610220896004,0.02711002854596872,0.8717458480451572,0.03405745271106789,0.8822216425213252,0.009817803801814063,15.6,0.5477225575051662
4,80,50,0.7,0.8771251039574587,0.0233876212473573,0.9264925464906411,0.0094753743238094,0.900990389280917,0.013130659348737242,15.6,0.5477225575051662
4,80,50,0.8,0.872858591498342,0.02559669680451239,0.9390385254061432,0.006331629690746252,0.904560307242211,0.013275247610148574,15.6,0.5477225575051662
4,80,50,0.9,0.8675682286192498,0.023412617343047216,0.9466425698719183,0.006662763708245219,0.9052562182465019,0.013570303095739533,15.6,0.5477225575051662
4,80,50,1.0,0.8623672644608333,0.028535032499459677,0.9538097491407742,0.0039198597296346525,0.9055568569559878,0.014646356971941799,15.4,0.5477225575051662
