model_id,model_file,max_depth,min_samples_split,min_samples_leaf,class_weight_factor,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1
622,dt_NOF_RFC_d6_s100_l60_w0.3.pkl,6,100,60,0.3,0.9357687502692457,0.8531144450553766,0.8925321006676938,0.9151616330247382,0.8344865762524218,0.8729641693811075
623,dt_NOF_RFC_d6_s100_l60_w0.4.pkl,6,100,60,0.4,0.9176898772147343,0.9011468070065195,0.9093431090855048,0.9044382801664355,0.9024356490451149,0.9034358548074258
624,dt_NOF_RFC_d6_s100_l60_w0.5.pkl,6,100,60,0.5,0.9110199296600234,0.9155997172256696,0.913304082112356,0.8986193827828912,0.9187655687794077,0.9085808129191186
625,dt_NOF_RFC_d6_s100_l60_w0.6.pkl,6,100,60,0.6,0.9058584620100387,0.9285209331552903,0.9170497081127209,0.8941223298394587,0.9326044838084694,0.9129580708528077
626,dt_NOF_RFC_d6_s100_l60_w0.7.pkl,6,100,60,0.7,0.9014270613107822,0.9377503731050193,0.9192300288739172,0.8906887923087053,0.9359258234154443,0.9127471489304272
627,dt_NOF_RFC_d6_s100_l60_w0.8.pkl,6,100,60,0.8,0.8993434627649597,0.9414814232974629,0.9199301571464206,0.8892086330935252,0.9407694436756159,0.9142626588662498
628,dt_NOF_RFC_d6_s100_l60_w0.9.pkl,6,100,60,0.9,0.8943359952676723,0.9500432016338073,0.9213483146067416,0.8862644415917843,0.9554386936064213,0.9195524773574854
629,dt_NOF_RFC_d6_s100_l60_w1.0.pkl,6,100,60,1.0,0.8804878918649025,0.9696017594847224,0.9228986374086465,0.8719723183391004,0.976473844450595,0.9212690951821386
630,dt_NOF_RFC_d6_s120_l20_w0.2.pkl,6,120,20,0.2,0.956695601287428,0.770481501845888,0.8535502958579881,0.9344754503708936,0.7322169941876557,0.8210738671632526
631,dt_NOF_RFC_d6_s120_l20_w0.3.pkl,6,120,20,0.3,0.9359965450226733,0.8511900086403268,0.8915811341711747,0.9153729071537291,0.832272349847772,0.8718469121484488
632,dt_NOF_RFC_d6_s120_l20_w0.4.pkl,6,120,20,0.4,0.9171290567242825,0.9023250333830807,0.9096668184427771,0.9047288864235197,0.9028508164959868,0.9037888758052227
633,dt_NOF_RFC_d6_s120_l20_w0.5.pkl,6,120,20,0.5,0.9089958564070789,0.9218835912339958,0.9153943648240226,0.8962783823726992,0.9231940215887074,0.9095371190946895
634,dt_NOF_RFC_d6_s120_l20_w0.6.pkl,6,120,20,0.6,0.904703865930299,0.9328803707485664,0.9185760968346965,0.8926121372031662,0.9363409908663161,0.9139538025124949
635,dt_NOF_RFC_d6_s120_l20_w0.7.pkl,6,120,20,0.7,0.9017766210252348,0.9389285994815804,0.9199776807188348,0.8896197868701486,0.9357874342651537,0.9121197814797329
636,dt_NOF_RFC_d6_s120_l20_w0.8.pkl,6,120,20,0.8,0.8995652825663318,0.9427381980991281,0.9206458788785333,0.8880324013587667,0.9406310545253252,0.9135752688172043
637,dt_NOF_RFC_d6_s120_l20_w0.9.pkl,6,120,20,0.9,0.8940820319710562,0.9511428795852643,0.9217301946754458,0.8850147416997821,0.9554386936064213,0.918879350502429
638,dt_NOF_RFC_d6_s120_l20_w1.0.pkl,6,120,20,1.0,0.8796118575389209,0.9719189380252926,0.9234644376446003,0.8710552268244576,0.9778577359535012,0.9213717564219586
639,dt_NOF_RFC_d6_s120_l30_w0.2.pkl,6,120,30,0.2,0.9567190397189421,0.7700494855078156,0.8532944555661938,0.9344059405940595,0.731386659285912,0.8205247632355225
640,dt_NOF_RFC_d6_s120_l30_w0.3.pkl,6,120,30,0.3,0.9359461325966851,0.8516220249783992,0.8917951881554596,0.9152336021914472,0.832272349847772,0.8717837210987895
641,dt_NOF_RFC_d6_s120_l30_w0.4.pkl,6,120,30,0.4,0.9166932017194714,0.9045243892859948,0.9105681413829914,0.9039337474120083,0.9063105452532522,0.9051205859995853
642,dt_NOF_RFC_d6_s120_l30_w0.5.pkl,6,120,30,0.5,0.9103048234515514,0.9183489121043124,0.9143091751549395,0.8977855792600594,0.9201494602823138,0.90882996172772
643,dt_NOF_RFC_d6_s120_l30_w0.6.pkl,6,120,30,0.6,0.9053548239248339,0.9309559343335166,0.9179769189063589,0.893859184753838,0.9346803210628287,0.9138140982275741
644,dt_NOF_RFC_d6_s120_l30_w0.7.pkl,6,120,30,0.7,0.9020704246637449,0.9377110988924672,0.9195455420758714,0.890192459794358,0.9345419319125381,0.9118282473669997
645,dt_NOF_RFC_d6_s120_l30_w0.8.pkl,6,120,30,0.8,0.8994826034793041,0.9422276333359516,0.9203590746921395,0.8880167451596023,0.9393855521727097,0.9129791526563551
646,dt_NOF_RFC_d6_s120_l30_w0.9.pkl,6,120,30,0.9,0.8937599173401233,0.9512214280103684,0.9215958600483248,0.8847879020889402,0.9554386936064213,0.9187570696653137
