max_bins,interactions,outer_bags,learning_rate,min_samples_leaf,max_leaves,random_state,threshold,train_precision,train_recall,train_f1,train_auc,test_precision,test_recall,test_f1,test_auc
512,10,8,0.01,2,3,42,0.7,0.9182253153545019,0.8368299079099836,0.8756401461367879,0.8835223095792704,0.8864507140369209,0.8399339933993399,0.8625656668361295,0.875666275607714
512,10,8,0.01,2,3,42,0.8,0.9447533420087543,0.7305604683783619,0.8239643698519423,0.8835223095792704,0.9204999487757402,0.7413366336633663,0.8212604542753987,0.875666275607714
512,20,8,0.01,2,3,42,0.3,0.8136305315857003,0.986186497530036,0.8916366844492232,0.8881862272004268,0.77706589958159,0.9806930693069307,0.8670849139188795,0.8769812680816127
512,20,8,0.01,2,3,42,0.4,0.8395559774297315,0.9709398060620845,0.9004807692307693,0.8881862272004268,0.8041201598456662,0.962953795379538,0.8763985882706316,0.8769812680816127
512,20,8,0.01,2,3,42,0.5,0.8659672681493915,0.9438921753979387,0.9032521630020864,0.8881862272004268,0.8307060634943911,0.9348184818481848,0.8796925346480842,0.8769812680816127
512,20,8,0.01,2,3,42,0.6,0.8922130405935219,0.9021162407757517,0.8971373119844736,0.8881862272004268,0.8606973058637084,0.8962046204620462,0.8780921584478577,0.8769812680816127
512,20,8,0.01,2,3,42,0.7,0.9213611092504521,0.838872964566689,0.8781842558896763,0.8881862272004268,0.8881884248314509,0.836963696369637,0.8618155558387495,0.8769812680816127
512,20,8,0.01,2,3,42,0.8,0.9461883408071748,0.7334878331402086,0.8263707571801566,0.8881862272004268,0.9184487874756984,0.7405940594059406,0.8199881240579181,0.8769812680816127
512,50,8,0.01,2,3,42,0.3,0.8176974166014294,0.9873757394645362,0.8945616288867708,0.8970800636658632,0.7792727750065634,0.9796204620462046,0.8680362626114929,0.878154509791714
512,50,8,0.01,2,3,42,0.4,0.8437119406936723,0.971732634018418,0.9032084348959809,0.8970800636658632,0.8065387545889036,0.9607260726072607,0.8769062770644275,0.878154509791714
512,50,8,0.01,2,3,42,0.5,0.8709695524063421,0.9464231261816186,0.9071300179748353,0.8970800636658632,0.8342675910901313,0.9332508250825082,0.8809876158579328,0.878154509791714
512,50,8,0.01,2,3,42,0.6,0.8989094213874583,0.9048301518570471,0.9018600692966993,0.8970800636658632,0.8631830873554048,0.8927392739273927,0.8777124315554654,0.878154509791714
512,50,8,0.01,2,3,42,0.7,0.9253651346643441,0.842349210221382,0.8819078632314913,0.8970800636658632,0.8921110621419127,0.8350660066006601,0.8626464947794588,0.878154509791714
512,50,8,0.01,2,3,42,0.8,0.9511360956050003,0.7377874001341709,0.8309863992306635,0.8970800636658632,0.9206659130613504,0.7391914191419142,0.8200082376092628,0.878154509791714
