max_depth,min_samples_split,min_samples_leaf,class_weight_factor,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
4,50,40,2.0,0.8185689648460724,0.013326813180681841,0.9898666095410379,0.006142234286595237,0.896034266665465,0.00817760322396561
4,60,20,0.8,0.8405557362507888,0.03713900489120235,0.9680236369511563,0.010209400404871016,0.8991551785575854,0.017862191097320564
4,60,20,1.0,0.85945746205507,0.006408494694588055,0.9713895410389005,0.012367004031004618,0.9119849141880576,0.008510307224200358
4,60,20,1.2,0.8578642752686184,0.033285538854524316,0.9648029262517955,0.010543502578311326,0.9077990258521837,0.01844329878944014
4,60,20,1.5,0.8564366214169895,0.045954906552692014,0.9854782166617132,0.010807696066067254,0.9155393177198795,0.023042709125742147
4,60,20,2.0,0.8666234611092221,0.040235572229292214,0.9791480784968872,0.020392348612288155,0.9184388555983674,0.013384407666347065
4,60,25,0.8,0.9051329174666284,0.02798043121696495,0.9478242816600106,0.019488578801872988,0.9255176119225749,0.01247216040995078
4,60,25,1.0,0.8757235972993445,0.03939184623338477,0.9482362308399016,0.03532751868469698,0.9090329017982871,0.00817502405469221
4,60,25,1.2,0.8469387786982306,0.008744181136703852,0.964304338211003,0.01331976869133842,0.901816116136354,0.01077805773088631
4,60,25,1.5,0.8448728748511721,0.016444693557115295,0.983539110463711,0.003048585389724619,0.9088862903199049,0.010840632901723846
4,60,25,2.0,0.7973504063099092,0.046161888089789854,0.9866428500522928,0.0129670083651374,0.8808735111083664,0.022513955657709545
4,60,30,0.8,0.8655791086681552,0.04287249799617372,0.9497838346365736,0.015132504921473047,0.9047586647530416,0.01712852625229409
4,60,30,1.0,0.8625855038026948,0.018831890076808223,0.9512794600287903,0.017645443719804147,0.9046189266709667,0.014550013539863137
4,60,30,1.2,0.8592744687659808,0.01537202496738581,0.9772880585939708,0.006495103316946917,0.9143539995444083,0.005852429099156458
4,60,30,1.5,0.8247914001604709,0.053484777025086055,0.9852369832393494,0.0033162036558867596,0.8970039023661761,0.03146540892207216
4,60,30,2.0,0.781732944494709,0.004705893377045453,0.9953642150287578,0.0025018874051919012,0.8756954492730623,0.0026167686191311203
4,60,40,0.8,0.8680639538119093,0.029058932374072536,0.9655995074625389,0.017473452137744767,0.9136745835394958,0.01015129935086334
4,60,40,1.0,0.8578300297806728,0.008330161664024035,0.9666320349324558,0.013097238991576598,0.9088944006007945,0.005253443977830509
4,60,40,1.2,0.8667219142158086,0.04226164600634929,0.958359402436549,0.018573650974704373,0.9092116029677552,0.014934092755336675
4,60,40,1.5,0.8321409987481521,0.055684569898084686,0.9814294796569379,0.010996151074755591,0.8993905396094415,0.03092896988389816
4,60,40,2.0,0.8340717049347849,0.03253413643275203,0.9863731330618434,0.008622927059978558,0.9033896494795894,0.017113432116237975
4,80,20,0.8,0.8719188324882143,0.027366947160198784,0.9553772734827115,0.016958559942121074,0.9112410679567086,0.010128459070197585
4,80,20,1.0,0.8729283900381789,0.030024755590542282,0.953585127318318,0.011350394880480301,0.9110042760885774,0.01162662142339533
4,80,20,1.2,0.8692148321018219,0.022308805577129415,0.9765702711520143,0.010476728720262675,0.9195034136172086,0.010018396987072551
4,80,20,1.5,0.8484139747289806,0.007220926465632819,0.9731327642359763,0.006673269997692194,0.9064529485826239,0.0019120863705630162
4,80,20,2.0,0.857921267753516,0.03543574517175695,0.9836848463499145,0.010403660395354173,0.9159148359615638,0.01590052570872758
4,80,25,0.8,0.9022701938249004,0.03450352192980609,0.941953887115282,0.010687683957301523,0.921168400450834,0.015099538042216915
4,80,25,1.0,0.8942224768430173,0.03578167768892339,0.9490446377101623,0.019541568506646543,0.9200183986557001,0.012489680059523554
4,80,25,1.2,0.8935195509146823,0.006806175282017293,0.9565760662999804,0.017938689022815507,0.9238170329728316,0.005302445816182776
4,80,25,1.5,0.7842073629569534,0.0029470860731418444,0.9916979674029872,0.0015079427319759815,0.8758268678308125,0.001688277232643319
4,80,25,2.0,0.8096627395018995,0.03299374129600045,0.992435941375108,0.005276547964411093,0.8913309980824652,0.018024248713584504
4,80,30,0.8,0.8559045402846918,0.020482407132936562,0.9666071878450122,0.013210024229302765,0.9075731656834494,0.005923366238735541
4,80,30,1.0,0.8592273575675021,0.006023214628433159,0.979172581754689,0.006356901333140369,0.9152466928447831,0.0012107936412378022
4,80,30,1.2,0.8272485870725163,0.03233127122200613,0.9647354616441532,0.014277176270570978,0.8905175885462215,0.02375563027928437
4,80,30,1.5,0.8325991221059986,0.03731114619441576,0.9833651096374628,0.00879896759777906,0.9010842059890739,0.019015641197640216
4,80,30,2.0,0.8484325439528583,0.030868641998571665,0.9821169117483665,0.011451069035031831,0.9099096437171047,0.014076231362076466
4,80,40,0.8,0.8588511127371795,0.02269112060028995,0.9353182418072684,0.018547440569591952,0.8950768531184702,0.01043939943087578
4,80,40,1.0,0.8535960495727597,0.018318575602944545,0.9584844792495341,0.005534498501201538,0.902871332992676,0.009525653285843
4,80,40,1.2,0.8369403660805825,0.05131302172876164,0.9690814080242972,0.0018962288841606002,0.8972783473402788,0.029388329127834945
4,80,40,1.5,0.8559589342662853,0.011354098292229444,0.9801622232730045,0.003989771613593497,0.913832426067208,0.007730172336173481
4,80,40,2.0,0.8540369263956565,0.04743143973770989,0.9813279271169675,0.012063456448116556,0.9123030796673989,0.02307440603253603
5,40,20,0.8,0.878982395272223,0.03735058675859353,0.9441000090730975,0.00961148890511958,0.9098059785731271,0.017126367050733046
5,40,20,1.0,0.8836706959022808,0.029673682841776614,0.9469154706576769,0.008703359036659027,0.9137882880668878,0.012392796214322667
5,40,20,1.2,0.879320359789369,0.012031277614425573,0.9772423480156095,0.004594642621189853,0.9256292320212435,0.005334236274378337
5,40,20,1.5,0.8628787068900472,0.03157242591005517,0.9713884830638636,0.012011430354013933,0.9133752043402765,0.012822615013168403
5,40,20,2.0,0.8195370837236262,0.012119500646067009,0.9904405588861146,0.0027840751896390393,0.8968766542825973,0.007761008897968984
5,40,25,0.8,0.8583467840455294,0.019022510015525868,0.9570696226406429,0.019103027452380288,0.9046320071137446,0.00371375354589729
5,40,25,1.0,0.8077019442306225,0.02913053985213967,0.9761676609032325,0.011782708634758778,0.8837186584297063,0.0191534004420748
5,40,25,1.2,0.8466815791293861,0.03601374003259519,0.9766700902324366,0.006213507224555234,0.9066205450138242,0.021122152634133945
5,40,25,1.5,0.8509438666350255,0.011213972488817609,0.9806284746889373,0.00525681143547773,0.9111296182676482,0.005413345934144761
5,40,25,2.0,0.8606112837098562,0.001545152733167191,0.9887476083399654,0.0019047037882469477,0.9202375854003724,0.0006057617353765402
5,40,30,0.8,0.8507884269509359,0.04762298113293159,0.9475973649418833,0.007562822095127215,0.8958299003073656,0.025401804788806513
5,40,30,1.0,0.8137829528883547,0.008730368841503862,0.9503265549676417,0.019782495578628084,0.8767366508293012,0.013069039634479016
5,40,30,1.2,0.8668329252020142,0.033071488564143596,0.9696117685522806,0.009790237291127568,0.9149866818603071,0.019220759276735097
5,40,30,1.5,0.8571217684850699,0.006179572772521517,0.9751297177330227,0.004058841900040497,0.9123166845406953,0.004651078386273391
5,40,30,2.0,0.8518385859313268,0.037703777967993964,0.9849193164822466,0.005579266426700162,0.9131070910211111,0.021518550671487037
5,40,40,0.8,0.8463407282360548,0.054002225916542065,0.9235696605854757,0.040652590935139864,0.8811119341781447,0.02340384654374371
5,40,40,1.0,0.8521936030720676,0.04327696452288709,0.9580738770025254,0.01642535266037954,0.9010303295596213,0.018649940965330427
5,40,40,1.2,0.8475295957345996,0.01727116086030198,0.9789435515013363,0.004030677374641494,0.9083975194695205,0.009348394944811225
5,40,40,1.5,0.8531907493892997,0.02293227661486739,0.9797573280073482,0.007645845979650626,0.9118336058572418,0.00964173463214139
5,40,40,2.0,0.8539828582714509,0.012355850923763519,0.9851169226982602,0.00997603107377343,0.9147599928948406,0.005466018730591439
5,50,20,0.8,0.8603213151736092,0.014924449472525707,0.9496542842823447,0.017756056782113363,0.9025235002868216,0.005522637231462759
5,50,20,1.0,0.8759710167379319,0.02100965146349742,0.9624545821887627,0.019735094342547145,0.9168803990381419,0.012288570296052724
5,50,20,1.2,0.879743871236046,0.03194411558979703,0.9732380882769981,0.015519217546891987,0.9236017364035586,0.014467798603061546
5,50,20,1.5,0.8819922735207598,0.020124789212654863,0.9819739423218466,0.010182656871666269,0.92923954697692,0.01489111927829282
5,50,20,2.0,0.8912385488443406,0.019008307729429182,0.9837927481402188,0.004378538196741718,0.9350769084602271,0.008591190446173529
5,50,25,0.8,0.8133883935593973,0.013415841813676572,0.9648728302733436,0.005823532254545392,0.8825757597628376,0.006183248091735638
5,50,25,1.0,0.8368032053736764,0.03290158896967411,0.9659678454140276,0.025785529046789938,0.895865289627037,0.01124072577614733
5,50,25,1.2,0.8433284524387042,0.02569090870483549,0.9820037827185318,0.0013654130786307963,0.9071817356276598,0.014846735672948398
5,50,25,1.5,0.8582465719446569,0.005346656845621021,0.9781544042872129,0.00752964011749935,0.9142672830847532,0.004834417913528397
5,50,25,2.0,0.8235895834862129,0.049875174151486436,0.974686207574995,0.012415691635042156,0.8916376876202395,0.025622929786884466
5,50,30,0.8,0.8471198328030236,0.02922241241520799,0.9353965298399965,0.019376164478316873,0.8884128533148331,0.00888233560754242
5,50,30,1.0,0.8611172365190108,0.03675307677024996,0.9468275630281561,0.01740880188779852,0.901095739849194,0.012832786036062587
5,50,30,1.2,0.8428421957501006,0.026071113025610264,0.9671066737421885,0.0074086520080560115,0.9004023615008062,0.01273705245567362
5,50,30,1.5,0.8334038354220487,0.006031941005553981,0.9830806764831476,0.008506521094732144,0.9020253057074581,0.0023305800580538136
5,50,30,2.0,0.8184931783920262,0.0476468971850562,0.9882652824195416,0.005648482771193918,0.8945496460771346,0.027615856409288334
5,50,40,0.8,0.8730676160263154,0.014363860050425628,0.9472314394383975,0.004590072299640556,0.9085414039051596,0.006193290469915458
5,50,40,1.0,0.8652999591682208,0.03229178394992181,0.9639847841164023,0.01797572145385762,0.911496028289624,0.017521787045824515
5,50,40,1.2,0.8499270441724313,0.04262748376662143,0.9806533304493291,0.0036700808758457462,0.9099970118834991,0.023370714582300167
5,50,40,1.5,0.8650846603170246,0.03221370941836061,0.9801116175662744,0.01902107611900078,0.9182820186816958,0.00932515070092601
5,50,40,2.0,0.8902702555883032,0.02568729391371723,0.9817556652619635,0.00503453044589996,0.933610839866013,0.015380406056592705
5,60,20,0.8,0.8864878060036538,0.027351685383781372,0.9394011717327171,0.01885406230109251,0.9115989255535752,0.006175268323291289
5,60,20,1.0,0.8471707856549205,0.016213628424487325,0.9601174371718678,0.017987546774217447,0.8999174534569206,0.010840663521904203
5,60,20,1.2,0.8430537471923968,0.027939724154330058,0.9798121089306621,0.0027611274754508605,0.9060086910254932,0.01516973901563153
5,60,20,1.5,0.8110481468685804,0.030218374757296905,0.9797834991219,0.007165999236554375,0.8870341800417713,0.014944198038242405
5,60,20,2.0,0.8391849105308834,0.04468110437448861,0.9900281713851936,0.003984688720254288,0.9076545937394846,0.024206473862475437
5,60,25,0.8,0.8630668049456158,0.012552303887333215,0.9395735116758708,0.01778743054645638,0.8996139087990098,0.012474891437548864
5,60,25,1.0,0.8787543535237606,0.019181039857410914,0.9521128483389649,0.01803555324446604,0.9135936802828087,0.0031655290737123303
5,60,25,1.2,0.8389669945649949,0.052126820255255876,0.9711930531290855,0.00949063073018926,0.8994123305281579,0.030199809438140816
5,60,25,1.5,0.7945677998011785,0.01291398220178587,0.9885752205288196,0.0018808639205950464,0.880972623180955,0.008669688344326847
5,60,25,2.0,0.8410319829760752,0.03189558131725282,0.9933881806150732,0.002887010346949008,0.9105340362030696,0.01842553640294231
5,60,30,0.8,0.8583315867906528,0.01124627610164835,0.958327950565561,0.015430965034277405,0.905437692151816,0.007058285955386725
