max_bins,interactions,outer_bags,learning_rate,min_samples_leaf,max_leaves,random_state,threshold,train_precision,train_recall,train_f1,train_auc,test_precision,test_recall,test_f1,test_auc
256,10,8,0.01,2,3,42,0.3,0.8536134400204023,0.9858620816612054,0.9149837690073467,0.9038650216456063,0.8865752715985514,0.9724783657256348,0.9275421148772073,0.818893647272374
256,10,8,0.01,2,3,42,0.4,0.872708016151453,0.9708037259305622,0.9191459694989107,0.9038650216456063,0.8978740581270183,0.9466591005816428,0.9216214349837718,0.818893647272374
256,10,8,0.01,2,3,42,0.5,0.8923204477147891,0.9509959132579802,0.9207243173878947,0.9038650216456063,0.9084655341850344,0.9180025535536955,0.9132091447925487,0.818893647272374
256,10,8,0.01,2,3,42,0.6,0.9105442918392559,0.9226464415890431,0.9165554194173692,0.9038650216456063,0.9200892857142857,0.8771456944247411,0.8981044375045392,0.818893647272374
256,10,8,0.01,2,3,42,0.7,0.9292224992209411,0.8782813593019403,0.9030340885431454,0.9038650216456063,0.9337087691069992,0.8232373386295928,0.875,0.818893647272374
256,10,8,0.01,2,3,42,0.8,0.9510140270117688,0.8062663377637053,0.8726787279827847,0.9038650216456063,0.9475197699496765,0.7479075046105831,0.8359628954253548,0.818893647272374
256,20,8,0.01,2,3,42,0.3,0.8549308814609073,0.9859357166525533,0.9157718350318036,0.9081253266722817,0.8873038516405135,0.970634132501064,0.92710027100271,0.8194790949824482
256,20,8,0.01,2,3,42,0.4,0.8757551616543849,0.9713559883656714,0.9210815717352977,0.9081253266722817,0.8973358449946178,0.9460916442048517,0.9210689869484152,0.8194790949824482
256,20,8,0.01,2,3,42,0.5,0.8941562932226833,0.9520636206325246,0.9222018152315401,0.9081253266722817,0.9089376053962901,0.9175769612711023,0.9132368513942817,0.8194790949824482
256,20,8,0.01,2,3,42,0.6,0.914073318271263,0.9235300614852178,0.9187773565555006,0.9081253266722817,0.9206752315506423,0.874308412540786,0.8968929636906061,0.8194790949824482
256,20,8,0.01,2,3,42,0.7,0.931591263650546,0.8794227016678325,0.9047555917501563,0.9081253266722817,0.9338590280012874,0.8232373386295928,0.8750659730076151,0.8194790949824482
256,20,8,0.01,2,3,42,0.8,0.9522714453074153,0.8080335775560546,0.8742431485022307,0.9081253266722817,0.9481734748965269,0.7474819123279898,0.8359511343804538,0.8194790949824482
256,50,8,0.01,2,3,42,0.3,0.8559708877326269,0.9872611464968153,0.9169402270551225,0.9126431518747424,0.8875778008298755,0.9710597247836572,0.9274439401124585,0.8214118261166813
256,50,8,0.01,2,3,42,0.4,0.876417534319252,0.9731232281580207,0.9222421884540902,0.9126431518747424,0.8985877605917956,0.9477940133352248,0.9225352112676056,0.8214118261166813
256,50,8,0.01,2,3,42,0.5,0.8963857924253964,0.9533154154854386,0.9239745213838385,0.9126431518747424,0.910472972972973,0.9175769612711023,0.914011163710874,0.8214118261166813
256,50,8,0.01,2,3,42,0.6,0.9159924192725417,0.925334118773241,0.9206395721533361,0.9126431518747424,0.9205614454233239,0.8745921407291815,0.8969882147533828,0.8214118261166813
256,50,8,0.01,2,3,42,0.7,0.9349288284060692,0.8802326865726593,0.9067566798778753,0.9126431518747424,0.9349645846748229,0.8239466591005816,0.8759520398160018,0.8214118261166813
256,50,8,0.01,2,3,42,0.8,0.9544862894828184,0.8099480873310997,0.8762970782130693,0.9126431518747424,0.9467893217893217,0.7446446304440346,0.8336377352497419,0.8214118261166813
512,0,8,0.01,2,3,42,0.3,0.8517116314583864,0.9856411766871618,0.9137951632447562,0.8992004451628404,0.8861693861693861,0.9707759965952617,0.92654525759935,0.8181395915943033
512,0,8,0.01,2,3,42,0.4,0.8694806265457543,0.9707669084348882,0.9173363949483353,0.8992004451628404,0.8962049081400026,0.9480777415236203,0.9214118295877568,0.8181395915943033
512,0,8,0.01,2,3,42,0.5,0.8883123131379085,0.9516954456757851,0.9189121933878421,0.8992004451628404,0.9074074074074074,0.9175769612711023,0.9124638498977217,0.8181395915943033
512,0,8,0.01,2,3,42,0.6,0.9060235752135828,0.925370936268915,0.9155950602892426,0.8992004451628404,0.9193143194916507,0.8825365300042559,0.9005500868558194,0.8181395915943033
