max_bins,interactions,greedy_ratio,smoothing_rounds,min_samples_leaf,max_leaves,outer_bags,learning_rate,random_state,threshold,train_precision,train_recall,train_fbeta,train_auc,test_precision,test_recall,test_fbeta,test_auc,train_time_sec
256,0,10.0,0,2,3,8,0.01,42,0.6,0.9083365796649786,0.944122767947524,0.917026360034216,0.8891736481350492,0.8681415066757626,0.9364028171975192,0.8842565018860432,0.8857891495729602,24.198797464370728
256,0,10.0,0,2,3,8,0.01,42,0.7,0.9267402306479715,0.9045633072842856,0.9210946760810184,0.8891736481350492,0.8925984251968504,0.8937243771680857,0.8928796471329553,0.8857891495729602,24.198797464370728
256,0,10.0,0,2,3,8,0.01,42,0.8,0.9494809688581315,0.8332995910434465,0.9175007244599988,0.8891736481350492,0.9188902007083826,0.8181435929780301,0.8914468974601265,0.8857891495729602,24.198797464370728
256,0,10.0,0,2,4,8,0.01,42,0.3,0.8638062332534199,0.9920638134186338,0.8926577343814045,0.8919163664762487,0.8025878947816464,0.9910648586145275,0.8426509362291639,0.8849482279188878,22.653385639190674
256,0,10.0,0,2,4,8,0.01,42,0.4,0.8769642018567352,0.9829938858970725,0.9012677964843243,0.8919163664762487,0.8210859808149257,0.9807631661936298,0.855924040181643,0.8849482279188878,22.653385639190674
256,0,10.0,0,2,4,8,0.01,42,0.5,0.8918193009288619,0.9680123091873507,0.9097205045758102,0.8919163664762487,0.843963133640553,0.9625775254914328,0.8707890545134678,0.8849482279188878,22.653385639190674
256,0,10.0,0,2,4,8,0.01,42,0.6,0.9090625851929742,0.9451350366441268,0.9178200692041523,0.8919163664762487,0.8685775567904845,0.9365079365079365,0.8846192036540561,0.8849482279188878,22.653385639190674
256,0,10.0,0,2,4,8,0.01,42,0.7,0.9277982830838137,0.9058590112159371,0.9222144358794674,0.8919163664762487,0.8915827036104114,0.8929885419951645,0.8919337480641519,0.8849482279188878,22.653385639190674
256,0,10.0,0,2,4,8,0.01,42,0.8,0.9501818684101478,0.835607563671701,0.9186903198522047,0.8919163664762487,0.9186252509743711,0.8176179964259435,0.891103855187031,0.8849482279188878,22.653385639190674
256,0,10.0,0,2,5,8,0.01,42,0.3,0.8648543689320388,0.9919018504271774,0.8934641476402364,0.8948966310714099,0.8033066303050963,0.9908546199936928,0.8432069775243207,0.8840983438751391,22.548344373703003
256,0,10.0,0,2,5,8,0.01,42,0.4,0.8778010698279601,0.9833987933757137,0.9020157658703263,0.8948966310714099,0.8216016210025548,0.9803426889519605,0.8562640591286783,0.8840983438751391,22.548344373703003
256,0,10.0,0,2,5,8,0.01,42,0.5,0.8928904646389252,0.9687411426489048,0.9107173445499707,0.8948966310714099,0.8446619874399705,0.9614212130768423,0.8711098411791318,0.8840983438751391,22.548344373703003
256,0,10.0,0,2,5,8,0.01,42,0.6,0.9099263990030765,0.9461068145928655,0.9187095759529754,0.8948966310714099,0.8678968951376684,0.93440555029959,0.883620368299411,0.8840983438751391,22.548344373703003
256,0,10.0,0,2,5,8,0.01,42,0.7,0.9294967613353263,0.9064258816860348,0.9236196350658594,0.8948966310714099,0.8915624671640223,0.8919373488909913,0.8916561580496005,0.8840983438751391,22.548344373703003
256,0,10.0,0,2,5,8,0.01,42,0.8,0.9508951171245801,0.8366198323683038,0.9194962395977037,0.8948966310714099,0.9182107872064204,0.817828235046778,0.890873697469369,0.8840983438751391,22.548344373703003
256,20,0.0,0,2,3,8,0.01,42,0.3,0.867696012465472,0.992104304166498,0.8957783038268547,0.9027047955528731,0.8133967156439067,0.989277830337433,0.8512312597517129,0.8888427965991244,118.52812910079956
256,20,0.0,0,2,3,8,0.01,42,0.4,0.8822567159838598,0.9827104506620238,0.905394314705663,0.9027047955528731,0.8317823908375089,0.9771891096394407,0.8639204479449827,0.8888427965991244,118.52812910079956
256,20,0.0,0,2,3,8,0.01,42,0.5,0.8982236076163292,0.9684172166659918,0.9148004360381725,0.9027047955528731,0.8532461466604391,0.9601597813518343,0.8776784856346689,0.8888427965991244,118.52812910079956
256,20,0.0,0,2,3,8,0.01,42,0.6,0.9161094942185165,0.9431509899987853,0.9227234463976233,0.9027047955528731,0.8752588502120107,0.9330389992641648,0.8890224358974359,0.8888427965991244,118.52812910079956
